,Name,Product_price,Discount,Sale_price,Shop,Brand,Warranty,Warranty_way,Warranty_place,Sold,Rate,Comment,5,4,3,2,1,m_link
0,Chuột máy vi tính Bosston D608 led - Hàng Chính Hãng,60.0,0.05,57.1,,Bossto,0.0,0,0,364.0,4.7,93.0,78,8,5,0,2,https://tiki.vn/chuot-may-vi-tinh-bosston-d608-led-hang-chinh-hang-p9355345.html?spid=56764717
1,"Chuột máy tính có dây EDRA EM602 Độ Phân Giải 1200 DPI, chơi game, cho Laptop hàng chính hãng",148.0,0,148.0,Extreme Zero Online,E-DRA,24.0,Tem bảo hành,Bảo hành chính hãng,85.0,4.9,24.0,22,2,0,0,0,https://tiki.vn/chuot-may-tinh-co-day-edra-em602-do-phan-giai-1200-dpi-choi-game-cho-laptop-hang-chinh-hang-p74463237.html?spid=90107321
2,"Chuột máy tính có dây G5 ES, chuột gaming DPI 4 cấp độ, hiệu ứng đèn nền 7 màu- Hàng nhập khẩu",129.0,0,129.0,HOÀNG NHÂN COMPUTER,Zealot,3.0,Tem bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,185.0,4.7,64.0,53,7,0,1,3,https://tiki.vn/chuot-may-tinh-co-day-g5-es-chuot-gaming-dpi-4-cap-do-hieu-ung-den-nen-7-mau-hang-nhap-khau-p75614175.html?spid=91088172
3,Chuột máy tính Newmen G10 - Hàng Chính Hãng,145.0,0,145.0,Vi Tính Lê Huy,Newme,0.0,0,0,1000.0,4.7,135.0,106,20,6,0,3,https://tiki.vn/chuot-may-tinh-newmen-g10-hang-chinh-hang-p7975728.html?spid=7975732
4,Chuột máy tính văn phòng Tặng lót chuột cao cấp,158.0,0,158.0,VLC6 Store,OEM,0.0,0,0,55.0,5.0,9.0,9,0,0,0,0,https://tiki.vn/chuot-may-tinh-van-phong-tang-lot-chuot-cao-cap-p86900816.html?spid=120777689
5,"Chuột văn phòng có dây, chuột Game HXSJ A885 DPI 5500, RGB đổi 7 màu liên tục, chuyên dùng cho laptop, máy tính, pc - Hàng chính hãng",299.0,0.36,192.0,HXSJ Official Store,HXSJ,6.0,Hóa đơn,Bảo hành bởi nhà bán hàng thông qua Tiki,39.0,5.0,13.0,13,0,0,0,0,https://tiki.vn/chuot-van-phong-co-day-chuot-game-hxsj-a885-dpi-5500-rgb-doi-7-mau-lien-tuc-hang-chinh-hang-p121169235.html?spid=121169237
6,Chuột máy tính cao cấp,81.44,0,81.44,vinet shop,OEM,1.0,Tem bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,204.0,4.5,79.0,51,18,8,1,1,https://tiki.vn/chuot-may-tinh-cao-cap-p56288980.html?spid=58946387
7,"Chuột máy tính có dây PROLiNK PMC1006 BDLU (đen xanh), cảm biến quang học 1000DPI - Hàng chính hãng",120.0,0.26,89.0,,Prolink,12.0,Tem bảo hành,Bảo hành chính hãng,15.0,5.0,4.0,4,0,0,0,0,https://tiki.vn/chuot-may-tinh-co-day-prolink-pmc1006-bdlu-den-xanh-cam-bien-quang-hoc-1000dpi-hang-chinh-hang-p112529886.html?spid=112529887
8,Chuột máy vi tính Bosston D608 LED - Đen-Hàng Chính Hãng,57.4,0,57.4,VI TÍNH NAM TRUNG HẢI,Bossto,0.0,0,0,111.0,4.7,29.0,22,5,1,1,0,https://tiki.vn/chuot-may-vi-tinh-bosston-d608-led-den-hang-chinh-hang-p11191145.html?spid=48957656
9,Chuột led Ghost Wolf G830 cho máy tính - hàng nhập khẩu,125.0,0,125.0,Tech7,Ghost Wolf,3.0,Phiếu bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,35.0,4.4,11.0,7,3,0,0,1,https://tiki.vn/chuot-led-ghost-wolf-g830-cho-may-tinh-hang-nhap-khau-p95528617.html?spid=95528618
10,Chuột máy tính có dây văn phòng Langtu LM-106 - Hàng Chính Hãng,69.0,0,69.0,Nguyễn Ninh Media,Langt,12.0,0,0,18.0,4.0,1.0,0,1,0,0,0,https://tiki.vn/chuot-may-tinh-co-day-van-phong-langtu-lm-106-hang-chinh-hang-p12255324.html?spid=12255325
11,Chuột dây Genius DX-110 chuột máy tính có dây chính hãng Genius BH 12T,149.0,0,149.0,Siêu Thị NaNo,Genius,0.0,0,0,21.0,4.3,6.0,5,0,0,0,1,https://tiki.vn/chuot-day-genius-dx-110-chuot-may-tinh-co-day-chinh-hang-genius-bh-12t-p107411431.html?spid=107411432
12,Chuột máy tính có dây hiệu Newmen M180 - Hàng chính hãng,99.0,0,99.0,CỬA HÀNG TB VIỄN THÔNG,Newme,0.0,Điện tử,Bảo hành bởi nhà bán hàng thông qua Tiki,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-tinh-co-day-hieu-newmen-m180-hang-chinh-hang-p106887701.html?spid=106887703
13,Chuột Máy Tính Có Dây B100 (Đen) Kèm Lót Chuột,158.0,0,158.0,VLC6 Store,OEM,0.0,0,0,17.0,4.8,5.0,4,1,0,0,0,https://tiki.vn/chuot-may-tinh-co-day-b100-den-kem-lot-chuot-p54513941.html?spid=110696183
14,CHUỘT MÁY TÍNH LED 1602 - Hàng nhập khẩu,43.5,0,43.5,VI TÍNH NAM TRUNG HẢI,R8,0.0,0,0,69.0,4.4,19.0,13,4,0,1,1,https://tiki.vn/chuot-may-tinh-led-1602-hang-nhap-khau-p84107995.html?spid=84107997
15,Chuột Máy Tính Có Dây Hình Chú Rùa Nhiều Màu,38.0,0,38.0,MuaOnlineShop,OEM,0.0,0,0,5.0,5.0,2.0,2,0,0,0,0,https://tiki.vn/chuot-may-tinh-co-day-hinh-chu-rua-nhieu-mau-p124276352.html?spid=124276355
16,Chuột máy tính TM-M3168 USB - Hàng Nhập Khẩu,100.0,0,100.0,Non,Xtec,0.0,0,0,0.0,3.0,2.0,1,0,0,0,1,https://tiki.vn/chuot-may-tinh-tm-m3168-usb-hang-nhap-khau-p130405195.html?spid=130405196
17,Chuột Máy Tính Có Dây Rapoo N100 - Hàng Chính Hãng,77.0,0,77.0,Haincs,Rapoo,0.0,0,0,9.0,4.3,3.0,2,0,1,0,0,https://tiki.vn/chuot-may-tinh-co-day-rapoo-n100-hang-chinh-hang-p26221883.html?spid=72043013
18,"CHUỘT MÁY TÍNH CÓ DÂY VĂN PHÒNG HỘP GIẤY SN,DL...",71.5,0,71.5,HOÀNG NHÂN COMPUTER,OEM,0.0,0,0,13.0,5.0,2.0,2,0,0,0,0,https://tiki.vn/chuot-may-tinh-co-day-van-phong-hop-giay-sn-dl-p96087730.html?spid=96087860
19,Chuột Máy Tính M20 Có Dây,45.0,0,45.0,MuaOnlineShop,OEM,0.0,0,0,0.0,0.0,0,0,0,0,0,0,https://tiki.vn/chuot-may-tinh-m20-co-day-p124276524.html?spid=124276525
20,Chuột Máy Tính Chuyên Game DRLM066 tặng miếng lót chuột,159.0,0,159.0,Banbuonsile,OEM,0.0,0,0,21.0,3.0,2.0,1,0,0,0,1,https://tiki.vn/chuot-may-tinh-chuyen-game-drlm066-tang-mieng-lot-chuot-p29641879.html?spid=29641880
21,Chuột máy tính Genius DX-110 - Hàng Chính Hãng,199.0,0,199.0,Thiết Bị Mới,Genius,0.0,0,0,1.0,5.0,1.0,1,0,0,0,0,https://tiki.vn/chuot-may-tinh-genius-dx-110-p124895938.html?spid=129728127
22,"Chuột Máy Tính Chơi Game VINETTEAM G5 , Hiệu Ứng Ánh Sáng 7 Màu Phát Sáng , 6 Nút 4 Tốc Độ Phù Hợp Cho Game Thủ Và Văn Phòng - Hàng Chính Hãng",99.0,0,99.0,vinet shop,VINETTEAM,3.0,Tem bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,9.0,4.6,5.0,3,2,0,0,0,https://tiki.vn/chuot-may-tinh-choi-game-vinetteam-g5-hieu-ung-anh-sang-7-mau-phat-sang-6-nut-4-toc-do-phu-hop-cho-game-thu-va-van-phong-hang-chinh-hang-p82855999.html?spid=82856001
