,Unnamed: 0,m_link,Name,Price,Product_price,Discount,Shop,Brand,Sold,Warranty,Warranty_way,Warranty_place,From,Rate,Comment,5,4,3,2,1
0,0,https://tiki.vn/chuot-may-vi-tinh-bosston-d608-led-hang-chinh-hang-p9355345.html?spid=56764717,Chuột máy vi tính Bosston D608 led - Hàng Chính Hãng,57.100 ₫,60.000 ₫,-5%,,Thương hiệu: Bosston,Đã bán 364,0,0,0,D608,4.7,93 nhận xét,78,8,5,0,2
1,1,https://tiki.vn/chuot-may-tinh-co-day-edra-em602-do-phan-giai-1200-dpi-choi-game-cho-laptop-hang-chinh-hang-p74463237.html?spid=90107321,"Chuột máy tính có dây EDRA EM602 Độ Phân Giải 1200 DPI, chơi game, cho Laptop hàng chính hãng",148.000 ₫,Non,Non,Extreme Zero Online,Thương hiệu: E-DRA,Đã bán 85,24 Tháng,Tem bảo hành,Bảo hành chính hãng,1200 dpi,4.9,24 nhận xét,22,2,0,0,0
2,2,https://tiki.vn/chuot-may-tinh-co-day-g5-es-chuot-gaming-dpi-4-cap-do-hieu-ung-den-nen-7-mau-hang-nhap-khau-p75614175.html?spid=91088172,"Chuột máy tính có dây G5 ES, chuột gaming DPI 4 cấp độ, hiệu ứng đèn nền 7 màu- Hàng nhập khẩu",129.000 ₫,Non,Non,HOÀNG NHÂN COMPUTER,Thương hiệu: Zealot,Đã bán 185,3 Tháng,Tem bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,123*66*37mm,4.7,64 nhận xét,53,7,0,1,3
3,3,https://tiki.vn/chuot-may-tinh-newmen-g10-hang-chinh-hang-p7975728.html?spid=7975732,Chuột máy tính Newmen G10 - Hàng Chính Hãng,145.000 ₫,Non,Non,Vi Tính Lê Huy,Thương hiệu: Newmen,Đã bán 1000+,0,0,0,116 x 63 x 37 mm,4.7,135 nhận xét,106,20,6,0,3
4,4,https://tiki.vn/chuot-may-tinh-van-phong-tang-lot-chuot-cao-cap-p86900816.html?spid=120777689,Chuột máy tính văn phòng Tặng lót chuột cao cấp,158.000 ₫,Non,Non,VLC6 Store,Thương hiệu: OEM,Đã bán 55,0,0,0,Trung Quốc,5,9 nhận xét,9,0,0,0,0
5,5,https://tiki.vn/chuot-van-phong-co-day-chuot-game-hxsj-a885-dpi-5500-rgb-doi-7-mau-lien-tuc-hang-chinh-hang-p121169235.html?spid=121169237,"Chuột văn phòng có dây, chuột Game HXSJ A885 DPI 5500, RGB đổi 7 màu liên tục, chuyên dùng cho laptop, máy tính, pc - Hàng chính hãng",192.000 ₫,299.000 ₫,-36%,HXSJ Official Store,Thương hiệu: HXSJ,Đã bán 39,6 Tháng,Hóa đơn,Bảo hành bởi nhà bán hàng thông qua Tiki,"sản phẩm: 12* 7* 4.5cm
Trọng lượng: 128g
kích thước đóng gói：13.5*10.9*4.7cm
Trọng lượng đóng hộp：158g",5,13 nhận xét,13,0,0,0,0
6,6,https://tiki.vn/chuot-may-tinh-cao-cap-p56288980.html?spid=58946387,Chuột máy tính cao cấp,81.440 ₫,Non,Non,vinet shop,Thương hiệu: OEM,Đã bán 204,1 Tháng,Tem bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,0,4.5,79 nhận xét,51,18,8,1,1
7,7,https://tiki.vn/chuot-may-tinh-co-day-prolink-pmc1006-bdlu-den-xanh-cam-bien-quang-hoc-1000dpi-hang-chinh-hang-p112529886.html?spid=112529887,"Chuột máy tính có dây PROLiNK PMC1006 BDLU (đen xanh), cảm biến quang học 1000DPI - Hàng chính hãng",89.000 ₫,120.000 ₫,-26%,,Thương hiệu: Prolink,Đã bán 15,1 Năm,Tem bảo hành,Bảo hành chính hãng,"100.8 x 60 x 36 mm (Mouse)
90 x 40 x 125mm (with box)",5,4 nhận xét,4,0,0,0,0
8,8,https://tiki.vn/chuot-may-vi-tinh-bosston-d608-led-den-hang-chinh-hang-p11191145.html?spid=48957656,Chuột máy vi tính Bosston D608 LED - Đen-Hàng Chính Hãng,57.400 ₫,Non,Non,VI TÍNH NAM TRUNG HẢI,Thương hiệu: Bosston,Đã bán 111,0,0,0,0,4.7,29 nhận xét,22,5,1,1,0
9,9,https://tiki.vn/chuot-led-ghost-wolf-g830-cho-may-tinh-hang-nhap-khau-p95528617.html?spid=95528618,Chuột led Ghost Wolf G830 cho máy tính - hàng nhập khẩu,125.000 ₫,Non,Non,Tech7,Thương hiệu: Ghost Wolf,Đã bán 35,3 Tháng,Phiếu bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,Trung Quốc,4.4,11 nhận xét,7,3,0,0,1
10,10,https://tiki.vn/chuot-may-tinh-co-day-van-phong-langtu-lm-106-hang-chinh-hang-p12255324.html?spid=12255325,Chuột máy tính có dây văn phòng Langtu LM-106 - Hàng Chính Hãng,69.000 ₫,Non,Non,Nguyễn Ninh Media,Thương hiệu: Langtu,Đã bán 18,0,0,12 Tháng,0,4,1 nhận xét,0,1,0,0,0
11,11,https://tiki.vn/chuot-day-genius-dx-110-chuot-may-tinh-co-day-chinh-hang-genius-bh-12t-p107411431.html?spid=107411432,Chuột dây Genius DX-110 chuột máy tính có dây chính hãng Genius BH 12T,149.000 ₫,Non,Non,Siêu Thị NaNo,Thương hiệu: Genius,Đã bán 21,0,0,0,Việt Nam,4.3,6 nhận xét,5,0,0,0,1
12,12,https://tiki.vn/chuot-may-tinh-co-day-hieu-newmen-m180-hang-chinh-hang-p106887701.html?spid=106887703,Chuột máy tính có dây hiệu Newmen M180 - Hàng chính hãng,99.000 ₫,Non,Non,CỬA HÀNG TB VIỄN THÔNG,Thương hiệu: Newmen,0,0,Điện tử,Bảo hành bởi nhà bán hàng thông qua Tiki,Việt Nam,Non,Non,0,0,0,0,0
13,13,https://tiki.vn/chuot-may-tinh-co-day-b100-den-kem-lot-chuot-p54513941.html?spid=110696183,Chuột Máy Tính Có Dây B100 (Đen) Kèm Lót Chuột,158.000 ₫,Non,Non,VLC6 Store,Thương hiệu: OEM,Đã bán 17,0,0,0,Trung Quốc,4.8,5 nhận xét,4,1,0,0,0
14,14,https://tiki.vn/chuot-may-tinh-led-1602-hang-nhap-khau-p84107995.html?spid=84107997,CHUỘT MÁY TÍNH LED 1602 - Hàng nhập khẩu,43.500 ₫,Non,Non,VI TÍNH NAM TRUNG HẢI,Thương hiệu: R8,Đã bán 69,0,0,0,Việt Nam,4.4,19 nhận xét,13,4,0,1,1
15,15,https://tiki.vn/chuot-may-tinh-co-day-hinh-chu-rua-nhieu-mau-p124276352.html?spid=124276355,Chuột Máy Tính Có Dây Hình Chú Rùa Nhiều Màu,38.000 ₫,Non,Non,MuaOnlineShop,Thương hiệu: OEM,Đã bán 5,0,0,0,Việt Nam,5,2 nhận xét,2,0,0,0,0
16,16,https://tiki.vn/chuot-may-tinh-tm-m3168-usb-hang-nhap-khau-p130405195.html?spid=130405196,Chuột máy tính TM-M3168 USB - Hàng Nhập Khẩu,100.000 ₫,Non,Non,Non,Thương hiệu: Xtech,0,0,0,0,0,3,2 nhận xét,1,0,0,0,1
17,17,https://tiki.vn/chuot-may-tinh-co-day-rapoo-n100-hang-chinh-hang-p26221883.html?spid=72043013,Chuột Máy Tính Có Dây Rapoo N100 - Hàng Chính Hãng,77.000 ₫,Non,Non,Haincs,Thương hiệu: Rapoo,Đã bán 9,0,0,0,1600 dpi,4.3,3 nhận xét,2,0,1,0,0
18,18,https://tiki.vn/chuot-may-tinh-co-day-van-phong-hop-giay-sn-dl-p96087730.html?spid=96087860,"CHUỘT MÁY TÍNH CÓ DÂY VĂN PHÒNG HỘP GIẤY SN,DL...",71.500 ₫,Non,Non,HOÀNG NHÂN COMPUTER,Thương hiệu: OEM,Đã bán 13,0,0,0,Việt Nam,5,2 nhận xét,2,0,0,0,0
19,19,https://tiki.vn/chuot-may-tinh-m20-co-day-p124276524.html?spid=124276525,Chuột Máy Tính M20 Có Dây,45.000 ₫,Non,Non,MuaOnlineShop,Thương hiệu: OEM,0,0,0,0,Việt Nam,Non,Non,0,0,0,0,0
20,20,https://tiki.vn/chuot-may-tinh-chuyen-game-drlm066-tang-mieng-lot-chuot-p29641879.html?spid=29641880,Chuột Máy Tính Chuyên Game DRLM066 tặng miếng lót chuột,159.000 ₫,Non,Non,Banbuonsile,Thương hiệu: OEM,Đã bán 21,0,0,0,0,3,2 nhận xét,1,0,0,0,1
21,21,https://tiki.vn/chuot-may-tinh-genius-dx-110-p124895938.html?spid=129728127,Chuột máy tính Genius DX-110 - Hàng Chính Hãng,199.000 ₫,Non,Non,Thiết Bị Mới,Thương hiệu: Genius,Đã bán 1,0,0,0,Việt Nam,5,1 nhận xét,1,0,0,0,0
22,22,https://tiki.vn/chuot-may-tinh-choi-game-vinetteam-g5-hieu-ung-anh-sang-7-mau-phat-sang-6-nut-4-toc-do-phu-hop-cho-game-thu-va-van-phong-hang-chinh-hang-p82855999.html?spid=82856001,"Chuột Máy Tính Chơi Game VINETTEAM G5 , Hiệu Ứng Ánh Sáng 7 Màu Phát Sáng , 6 Nút 4 Tốc Độ Phù Hợp Cho Game Thủ Và Văn Phòng - Hàng Chính Hãng",99.000 ₫,Non,Non,vinet shop,Thương hiệu: VINETTEAM,Đã bán 9,3 Tháng,Tem bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,20x7x5cm,4.6,5 nhận xét,3,2,0,0,0
